Year,Country,Region,Population,Income,LifeExpectancy,,,,,,,,,,,,,,,,,,,,
1835,Chile,America,1071256,706.81,.,,,,,,,,,,,,,,,,,,,,
1835,Trinidad_and_Tobago,America,.,.,38.8,,,,,,,,,,,,,,,,,,,,
1835,United_States,America,15334042,2589.99,.,,,,,,,,,,,,,,,,,,,,
1835,Austria,Europe_Central_Asia,3626000,1913.13,.,,,,,,,,,,,,,,,,,,,,
1835,Belgium,Europe_Central_Asia,3912000,1724.62,.,,,,,,,,,,,,,,,,,,,,
1835,Denmark,Europe_Central_Asia,1306000,1531.9,38.35,,,,,,,,,,,,,,,,,,,,
1835,Finland,Europe_Central_Asia,1391000,1159.25,34.61,,,,,,,,,,,,,,,,,,,,
1835,France,Europe_Central_Asia,34000000,1638.99,39.48,,,,,,,,,,,,,,,,,,,,
1835,Germany,Europe_Central_Asia,29390000,2122.26,.,,,,,,,,,,,,,,,,,,,,
1835,Greece,Europe_Central_Asia,2653000,1088.24,.,,,,,,,,,,,,,,,,,,,,
1835,Ireland,Europe_Central_Asia,5760580,1550.6,.,,,,,,,,,,,,,,,,,,,,
1835,Italy,Europe_Central_Asia,22215000,1579.1,.,,,,,,,,,,,,,,,,,,,,
1835,Netherlands,Europe_Central_Asia,2732000,2726.17,.,,,,,,,,,,,,,,,,,,,,
1835,Norway,Europe_Central_Asia,1188000,1107,.,,,,,,,,,,,,,,,,,,,,
1835,Poland,Europe_Central_Asia,.,1353.24,.,,,,,,,,,,,,,,,,,,,,
1835,Portugal,Europe_Central_Asia,3595000,1310.62,.,,,,,,,,,,,,,,,,,,,,
1835,Spain,Europe_Central_Asia,13482000,1562.52,.,,,,,,,,,,,,,,,,,,,,
1835,Sweden,Europe_Central_Asia,3025000,1276,47.14,,,,,,,,,,,,,,,,,,,,
1835,Switzerland,Europe_Central_Asia,2159000,1948.95,.,,,,,,,,,,,,,,,,,,,,
1835,Turkey,Europe_Central_Asia,.,971.16,.,,,,,,,,,,,,,,,,,,,,
1835,United_Kingdom,Europe_Central_Asia,19691420,3041.81,.,,,,,,,,,,,,,,,,,,,,
1835,Australia,Asia_Pacific,358000,1550.03,.,,,,,,,,,,,,,,,,,,,,
1835,China,Asia_Pacific,410497259,804.54,.,,,,,,,,,,,,,,,,,,,,
1835,Indonesia,Asia_Pacific,20295533,.,.,,,,,,,,,,,,,,,,,,,,
1835,Japan,Asia_Pacific,31496031,1091.77,.,,,,,,,,,,,,,,,,,,,,
1835,Korea_Dem_Rep,Asia_Pacific,.,700,.,,,,,,,,,,,,,,,,,,,,
1835,Korea_Rep,Asia_Pacific,.,597,.,,,,,,,,,,,,,,,,,,,,
1835,Macao_China,Asia_Pacific,35000,.,.,,,,,,,,,,,,,,,,,,,,
1835,Myanmar,Asia_Pacific,.,569.07,.,,,,,,,,,,,,,,,,,,,,
1835,Taiwan,Asia_Pacific,.,871,.,,,,,,,,,,,,,,,,,,,,
1836,Cape_Verde,Africa,.,363.1,.,,,,,,,,,,,,,,,,,,,,
1836,Bangladesh,South_Asia,.,606,.,,,,,,,,,,,,,,,,,,,,
1836,India,South_Asia,.,560,.,,,,,,,,,,,,,,,,,,,,
1836,Pakistan,South_Asia,.,662,.,,,,,,,,,,,,,,,,,,,,
1836,Iraq,Middle_East,.,815.83,.,,,,,,,,,,,,,,,,,,,,
1836,Chile,America,1092912,701.53,.,,,,,,,,,,,,,,,,,,,,
1836,Costa_Rica,America,78000,.,.,,,,,,,,,,,,,,,,,,,,
1836,United_States,America,15752501,2629.47,.,,,,,,,,,,,,,,,,,,,,
1836,Austria,Europe_Central_Asia,3614000,1932.63,.,,,,,,,,,,,,,,,,,,,,
1836,Belgium,Europe_Central_Asia,3945000,1748.92,.,,,,,,,,,,,,,,,,,,,,
1836,Denmark,Europe_Central_Asia,1315000,1523.43,39.92,,,,,,,,,,,,,,,,,,,,
1836,Finland,Europe_Central_Asia,1399000,1165.21,.,,,,,,,,,,,,,,,,,,,,
1836,France,Europe_Central_Asia,34178000,1670.87,41.95,,,,,,,,,,,,,,,,,,,,
1836,Germany,Europe_Central_Asia,29702000,2129.93,.,,,,,,,,,,,,,,,,,,,,
1836,Greece,Europe_Central_Asia,2677000,1097.04,.,,,,,,,,,,,,,,,,,,,,
1836,Ireland,Europe_Central_Asia,5796156,1572.61,.,,,,,,,,,,,,,,,,,,,,
1836,Italy,Europe_Central_Asia,22358000,1431.19,.,,,,,,,,,,,,,,,,,,,,
1836,Netherlands,Europe_Central_Asia,2762000,2812.27,.,,,,,,,,,,,,,,,,,,,,
1836,Norway,Europe_Central_Asia,1202000,1077,.,,,,,,,,,,,,,,,,,,,,
1836,Poland,Europe_Central_Asia,.,1357.54,.,,,,,,,,,,,,,,,,,,,,
1836,Portugal,Europe_Central_Asia,3617000,1310.64,.,,,,,,,,,,,,,,,,,,,,
1836,Spain,Europe_Central_Asia,13571000,1566.06,.,,,,,,,,,,,,,,,,,,,,
1836,Sweden,Europe_Central_Asia,3059000,1311,45.13,,,,,,,,,,,,,,,,,,,,
1836,Switzerland,Europe_Central_Asia,2171000,1969.29,.,,,,,,,,,,,,,,,,,,,,
1836,Turkey,Europe_Central_Asia,.,976.01,.,,,,,,,,,,,,,,,,,,,,
1836,United_Kingdom,Europe_Central_Asia,19918844,3111.03,.,,,,,,,,,,,,,,,,,,,,
1836,Australia,Asia_Pacific,367000,1523.08,.,,,,,,,,,,,,,,,,,,,,
1836,China,Asia_Pacific,410797368,800.78,.,,,,,,,,,,,,,,,,,,,,
1836,Indonesia,Asia_Pacific,20464132,.,.,,,,,,,,,,,,,,,,,,,,
1836,Japan,Asia_Pacific,31529381,1092.32,.,,,,,,,,,,,,,,,,,,,,
1836,Korea_Dem_Rep,Asia_Pacific,.,700,.,,,,,,,,,,,,,,,,,,,,
1836,Korea_Rep,Asia_Pacific,.,597,.,,,,,,,,,,,,,,,,,,,,
1836,Myanmar,Asia_Pacific,.,569.07,.,,,,,,,,,,,,,,,,,,,,
1836,Taiwan,Asia_Pacific,.,871,.,,,,,,,,,,,,,,,,,,,,
1837,Cape_Verde,Africa,.,364.59,.,,,,,,,,,,,,,,,,,,,,
1837,Bangladesh,South_Asia,.,606,.,,,,,,,,,,,,,,,,,,,,
1837,India,South_Asia,.,560,.,,,,,,,,,,,,,,,,,,,,
1837,Pakistan,South_Asia,.,662,.,,,,,,,,,,,,,,,,,,,,
1837,Iraq,Middle_East,.,823.68,.,,,,,,,,,,,,,,,,,,,,
1837,Chile,America,1114694,718.11,.,,,,,,,,,,,,,,,,,,,,
1837,United_States,America,16170997,2543.05,.,,,,,,,,,,,,,,,,,,,,
1837,Austria,Europe_Central_Asia,3662000,1952.33,.,,,,,,,,,,,,,,,,,,,,
1837,Belgium,Europe_Central_Asia,3978000,1773.57,.,,,,,,,,,,,,,,,,,,,,
1837,Denmark,Europe_Central_Asia,1325000,1552.67,41.5,,,,,,,,,,,,,,,,,,,,
1837,Finland,Europe_Central_Asia,1409000,1171.21,.,,,,,,,,,,,,,,,,,,,,
1837,France,Europe_Central_Asia,34357000,1691.88,39.38,,,,,,,,,,,,,,,,,,,,
1837,Germany,Europe_Central_Asia,30013000,2137.64,.,,,,,,,,,,,,,,,,,,,,
1837,Greece,Europe_Central_Asia,2702000,1105.9,.,,,,,,,,,,,,,,,,,,,,
1837,Ireland,Europe_Central_Asia,5831733,1594.92,.,,,,,,,,,,,,,,,,,,,,
1837,Italy,Europe_Central_Asia,22502000,1392.04,.,,,,,,,,,,,,,,,,,,,,
1837,Netherlands,Europe_Central_Asia,2791000,2874.01,.,,,,,,,,,,,,,,,,,,,,
1837,Norway,Europe_Central_Asia,1214000,1080,.,,,,,,,,,,,,,,,,,,,,
1837,Poland,Europe_Central_Asia,.,1361.84,.,,,,,,,,,,,,,,,,,,,,
1837,Portugal,Europe_Central_Asia,3639000,1310.67,.,,,,,,,,,,,,,,,,,,,,
1837,Spain,Europe_Central_Asia,13662000,1569.61,.,,,,,,,,,,,,,,,,,,,,
1837,Sweden,Europe_Central_Asia,3076000,1293,39.57,,,,,,,,,,,,,,,,,,,,
1837,Switzerland,Europe_Central_Asia,2183000,1989.84,.,,,,,,,,,,,,,,,,,,,,
1837,Turkey,Europe_Central_Asia,.,980.88,.,,,,,,,,,,,,,,,,,,,,
1837,United_Kingdom,Europe_Central_Asia,20136267,3028.56,.,,,,,,,,,,,,,,,,,,,,
1837,Australia,Asia_Pacific,373000,1596.55,.,,,,,,,,,,,,,,,,,,,,
1837,China,Asia_Pacific,411097697,797.05,.,,,,,,,,,,,,,,,,,,,,
1837,Indonesia,Asia_Pacific,20634131,.,.,,,,,,,,,,,,,,,,,,,,
1837,Japan,Asia_Pacific,31562766,1092.86,.,,,,,,,,,,,,,,,,,,,,
1837,Korea_Dem_Rep,Asia_Pacific,.,700,.,,,,,,,,,,,,,,,,,,,,
1837,Korea_Rep,Asia_Pacific,.,597,.,,,,,,,,,,,,,,,,,,,,
1837,Myanmar,Asia_Pacific,.,569.07,.,,,,,,,,,,,,,,,,,,,,
1837,Taiwan,Asia_Pacific,.,871,.,,,,,,,,,,,,,,,,,,,,
1838,Cape_Verde,Africa,.,366.09,.,,,,,,,,,,,,,,,,,,,,
1838,Bangladesh,South_Asia,.,606,.,,,,,,,,,,,,,,,,,,,,
1838,India,South_Asia,.,560,.,,,,,,,,,,,,,,,,,,,,
1838,Pakistan,South_Asia,.,662,.,,,,,,,,,,,,,,,,,,,,
1838,Iraq,Middle_East,.,831.6,.,,,,,,,,,,,,,,,,,,,,
1838,Chile,America,1136597,721.22,.,,,,,,,,,,,,,,,,,,,,
1838,United_States,America,16590533,2520.65,.,,,,,,,,,,,,,,,,,,,,
1838,Austria,Europe_Central_Asia,3680000,1972.22,.,,,,,,,,,,,,,,,,,,,,
1838,Belgium,Europe_Central_Asia,4012000,1798.56,.,,,,,,,,,,,,,,,,,,,,
1838,Denmark,Europe_Central_Asia,1335000,1553.12,43.11,,,,,,,,,,,,,,,,,,,,
1838,Finland,Europe_Central_Asia,1420000,1177.23,.,,,,,,,,,,,,,,,,,,,,
1838,France,Europe_Central_Asia,34537000,1728.95,39.33,,,,,,,,,,,,,,,,,,,,
1838,Germany,Europe_Central_Asia,30365000,2145.37,.,,,,,,,,,,,,,,,,,,,,
1838,Greece,Europe_Central_Asia,2727000,1114.84,.,,,,,,,,,,,,,,,,,,,,
1838,Iceland,Europe_Central_Asia,.,.,32.4,,,,,,,,,,,,,,,,,,,,
1838,Ireland,Europe_Central_Asia,5868021,1617.56,.,,,,,,,,,,,,,,,,,,,,
1838,Italy,Europe_Central_Asia,22647000,1418.14,.,,,,,,,,,,,,,,,,,,,,
1838,Netherlands,Europe_Central_Asia,2821000,2899.55,.,,,,,,,,,,,,,,,,,,,,
1838,Norway,Europe_Central_Asia,1224000,1085,.,,,,,,,,,,,,,,,,,,,,
1838,Poland,Europe_Central_Asia,.,1366.16,.,,,,,,,,,,,,,,,,,,,,
1838,Portugal,Europe_Central_Asia,3661000,1310.69,.,,,,,,,,,,,,,,,,,,,,
1838,Spain,Europe_Central_Asia,13753000,1573.17,.,,,,,,,,,,,,,,,,,,,,
1838,Sweden,Europe_Central_Asia,3090000,1270,39.98,,,,,,,,,,,,,,,,,,,,
1838,Switzerland,Europe_Central_Asia,2195000,2010.6,.,,,,,,,,,,,,,,,,,,,,
1838,Turkey,Europe_Central_Asia,.,985.78,.,,,,,,,,,,,,,,,,,,,,
1838,United_Kingdom,Europe_Central_Asia,20354979,3150.67,40.56,,,,,,,,,,,,,,,,,,,,
1838,Australia,Asia_Pacific,388000,1576.69,.,,,,,,,,,,,,,,,,,,,,
1838,China,Asia_Pacific,411398245,793.32,.,,,,,,,,,,,,,,,,,,,,
1838,Indonesia,Asia_Pacific,20805542,.,.,,,,,,,,,,,,,,,,,,,,
1838,Japan,Asia_Pacific,31596186,1093.41,.,,,,,,,,,,,,,,,,,,,,
1838,Korea_Dem_Rep,Asia_Pacific,.,700,.,,,,,,,,,,,,,,,,,,,,
1838,Korea_Rep,Asia_Pacific,.,597,.,,,,,,,,,,,,,,,,,,,,
1838,Myanmar,Asia_Pacific,.,569.07,.,,,,,,,,,,,,,,,,,,,,
1838,Taiwan,Asia_Pacific,.,871,.,,,,,,,,,,,,,,,,,,,,
1839,Cape_Verde,Africa,.,367.6,.,,,,,,,,,,,,,,,,,,,,
1839,Bangladesh,South_Asia,.,606,.,,,,,,,,,,,,,,,,,,,,
1839,India,South_Asia,.,560,.,,,,,,,,,,,,,,,,,,,,
1839,Pakistan,South_Asia,.,662,.,,,,,,,,,,,,,,,,,,,,
1839,Iraq,Middle_East,.,839.6,.,,,,,,,,,,,,,,,,,,,,
1839,Chile,America,1158619,722.49,.,,,,,,,,,,,,,,,,,,,,
1839,Cuba,America,.,.,36.6,,,,,,,,,,,,,,,,,,,,
1839,United_States,America,17009101,2646.12,.,,,,,,,,,,,,,,,,,,,,
1839,Austria,Europe_Central_Asia,3698000,1992.32,.,,,,,,,,,,,,,,,,,,,,
1839,Belgium,Europe_Central_Asia,4046000,1823.9,.,,,,,,,,,,,,,,,,,,,,
1839,Denmark,Europe_Central_Asia,1347000,1560.42,41.86,,,,,,,,,,,,,,,,,,,,
1839,Finland,Europe_Central_Asia,1430000,1183.28,.,,,,,,,,,,,,,,,,,,,,
1839,France,Europe_Central_Asia,34718000,1702.64,40.91,,,,,,,,,,,,,,,,,,,,
1839,Germany,Europe_Central_Asia,30746000,2153.13,.,,,,,,,,,,,,,,,,,,,,
1839,Greece,Europe_Central_Asia,2752000,1123.84,.,,,,,,,,,,,,,,,,,,,,
1839,Iceland,Europe_Central_Asia,.,.,27.95,,,,,,,,,,,,,,,,,,,,
1839,Ireland,Europe_Central_Asia,5904310,1640.51,.,,,,,,,,,,,,,,,,,,,,
1839,Italy,Europe_Central_Asia,22793000,1405.09,.,,,,,,,,,,,,,,,,,,,,
1839,Netherlands,Europe_Central_Asia,2853000,2893.62,.,,,,,,,,,,,,,,,,,,,,
1839,Norway,Europe_Central_Asia,1233000,1086,.,,,,,,,,,,,,,,,,,,,,
1839,Poland,Europe_Central_Asia,.,1370.49,.,,,,,,,,,,,,,,,,,,,,
1839,Portugal,Europe_Central_Asia,3683000,1310.71,.,,,,,,,,,,,,,,,,,,,,
1839,Spain,Europe_Central_Asia,13845000,1576.73,.,,,,,,,,,,,,,,,,,,,,
1839,Sweden,Europe_Central_Asia,3106000,1295,39.88,,,,,,,,,,,,,,,,,,,,
1839,Switzerland,Europe_Central_Asia,2208000,2031.58,.,,,,,,,,,,,,,,,,,,,,
1839,Turkey,Europe_Central_Asia,.,990.71,.,,,,,,,,,,,,,,,,,,,,
1839,United_Kingdom,Europe_Central_Asia,20578690,3255.28,.,,,,,,,,,,,,,,,,,,,,
1839,Australia,Asia_Pacific,403000,1470.98,.,,,,,,,,,,,,,,,,,,,,
1839,China,Asia_Pacific,411699012,789.62,.,,,,,,,,,,,,,,,,,,,,
1839,Indonesia,Asia_Pacific,20978378,.,.,,,,,,,,,,,,,,,,,,,,
1839,Japan,Asia_Pacific,31629642,1093.96,.,,,,,,,,,,,,,,,,,,,,
1839,Korea_Dem_Rep,Asia_Pacific,.,700,.,,,,,,,,,,,,,,,,,,,,
1839,Korea_Rep,Asia_Pacific,.,598,.,,,,,,,,,,,,,,,,,,,,
1839,Macao_China,Asia_Pacific,13000,.,.,,,,,,,,,,,,,,,,,,,,
1839,Myanmar,Asia_Pacific,.,569.07,.,,,,,,,,,,,,,,,,,,,,
1839,Taiwan,Asia_Pacific,.,871,.,,,,,,,,,,,,,,,,,,,,
1840,Cape_Verde,Africa,.,369.11,.,,,,,,,,,,,,,,,,,,,,
1840,Bangladesh,South_Asia,.,606,.,,,,,,,,,,,,,,,,,,,,
1840,India,South_Asia,.,560,.,,,,,,,,,,,,,,,,,,,,
1840,Pakistan,South_Asia,.,662,.,,,,,,,,,,,,,,,,,,,,
1840,Iraq,Middle_East,.,847.67,.,,,,,,,,,,,,,,,,,,,,
1840,Canada,America,1697000,1686.35,.,,,,,,,,,,,,,,,,,,,,
1840,Chile,America,1180761,759.86,.,,,,,,,,,,,,,,,,,,,,
1840,United_States,America,17443768,2512.15,.,,,,,,,,,,,,,,,,,,,,
1840,Austria,Europe_Central_Asia,3716000,2012.62,.,,,,,,,,,,,,,,,,,,,,
1840,Belgium,Europe_Central_Asia,4080000,1849.6,.,,,,,,,,,,,,,,,,,,,,
1840,Denmark,Europe_Central_Asia,1357000,1599.67,41.06,,,,,,,,,,,,,,,,,,,,
1840,Finland,Europe_Central_Asia,1441000,1189.37,.,,,,,,,,,,,,,,,,,,,,
1840,France,Europe_Central_Asia,34900000,1833.29,40.37,,,,,,,,,,,,,,,,,,,,
1840,Germany,Europe_Central_Asia,31126000,2160.91,.,,,,,,,,,,,,,,,,,,,,
1840,Greece,Europe_Central_Asia,2777000,1132.92,.,,,,,,,,,,,,,,,,,,,,
1840,Iceland,Europe_Central_Asia,.,.,31.97,,,,,,,,,,,,,,,,,,,,
1840,Ireland,Europe_Central_Asia,5940598,1663.79,.,,,,,,,,,,,,,,,,,,,,
1840,Italy,Europe_Central_Asia,22939000,1448.59,.,,,,,,,,,,,,,,,,,,,,
1840,Netherlands,Europe_Central_Asia,2886000,2916.68,.,,,,,,,,,,,,,,,,,,,,
1840,Norway,Europe_Central_Asia,1241000,1185,.,,,,,,,,,,,,,,,,,,,,
1840,Poland,Europe_Central_Asia,.,1374.84,.,,,,,,,,,,,,,,,,,,,,
1840,Portugal,Europe_Central_Asia,3704000,1310.74,.,,,,,,,,,,,,,,,,,,,,
1840,Spain,Europe_Central_Asia,13937000,1580.31,.,,,,,,,,,,,,,,,,,,,,
1840,Sweden,Europe_Central_Asia,3139000,1306,43.98,,,,,,,,,,,,,,,,,,,,
1840,Switzerland,Europe_Central_Asia,2220000,2052.78,.,,,,,,,,,,,,,,,,,,,,
1840,Turkey,Europe_Central_Asia,.,995.66,.,,,,,,,,,,,,,,,,,,,,
1840,United_Kingdom,Europe_Central_Asia,20804402,3119.72,.,,,,,,,,,,,,,,,,,,,,
1840,Australia,Asia_Pacific,420000,1859.37,.,,,,,,,,,,,,,,,,,,,,
1840,China,Asia_Pacific,412000000,785.93,.,,,,,,,,,,,,,,,,,,,,
1840,Indonesia,Asia_Pacific,21152649,.,.,,,,,,,,,,,,,,,,,,,,
1840,Japan,Asia_Pacific,31663133,1094.51,.,,,,,,,,,,,,,,,,,,,,
1840,Korea_Dem_Rep,Asia_Pacific,.,700,.,,,,,,,,,,,,,,,,,,,,
1840,Korea_Rep,Asia_Pacific,.,598,.,,,,,,,,,,,,,,,,,,,,
1840,Myanmar,Asia_Pacific,.,569.07,.,,,,,,,,,,,,,,,,,,,,
1840,New_Zealand,Asia_Pacific,70000,541.62,.,,,,,,,,,,,,,,,,,,,,
1840,Taiwan,Asia_Pacific,.,871,.,,,,,,,,,,,,,,,,,,,,
1841,Cape_Verde,Africa,.,370.63,.,,,,,,,,,,,,,,,,,,,,
1841,Bangladesh,South_Asia,.,606,.,,,,,,,,,,,,,,,,,,,,
1841,India,South_Asia,.,560,.,,,,,,,,,,,,,,,,,,,,
1841,Pakistan,South_Asia,.,662,.,,,,,,,,,,,,,,,,,,,,
1841,Iraq,Middle_East,.,855.82,.,,,,,,,,,,,,,,,,,,,,
1841,Canada,America,.,.,40.32,,,,,,,,,,,,,,,,,,,,
1841,Chile,America,1203023,761.15,.,,,,,,,,,,,,,,,,,,,,
1841,Cuba,America,1008000,.,.,,,,,,,,,,,,,,,,,,,,
1841,United_States,America,18056100,2457.92,.,,,,,,,,,,,,,,,,,,,,
1841,Austria,Europe_Central_Asia,3739000,2034.4,.,,,,,,,,,,,,,,,,,,,,
1841,Belgium,Europe_Central_Asia,4115000,1875.66,40.33,,,,,,,,,,,,,,,,,,,,
1841,Denmark,Europe_Central_Asia,1371000,1585.44,42.64,,,,,,,,,,,,,,,,,,,,
1841,Finland,Europe_Central_Asia,1456000,1195.48,.,,,,,,,,,,,,,,,,,,,,
1841,France,Europe_Central_Asia,35059000,1782.25,40.68,,,,,,,,,,,,,,,,,,,,
1841,Germany,Europe_Central_Asia,31475000,2168.73,.,,,,,,,,,,,,,,,,,,,,
1841,Greece,Europe_Central_Asia,2803000,1142.08,.,,,,,,,,,,,,,,,,,,,,
1841,Iceland,Europe_Central_Asia,.,.,40.22,,,,,,,,,,,,,,,,,,,,
1841,Ireland,Europe_Central_Asia,5976886,1687.4,.,,,,,,,,,,,,,,,,,,,,
1841,Italy,Europe_Central_Asia,23087000,1479.05,.,,,,,,,,,,,,,,,,,,,,
1841,Netherlands,Europe_Central_Asia,2921000,2940.77,.,,,,,,,,,,,,,,,,,,,,
1841,Norway,Europe_Central_Asia,1254000,1208,.,,,,,,,,,,,,,,,,,,,,
1841,Poland,Europe_Central_Asia,.,1379.2,.,,,,,,,,,,,,,,,,,,,,
1841,Portugal,Europe_Central_Asia,3715000,1310.76,.,,,,,,,,,,,,,,,,,,,,
1841,Spain,Europe_Central_Asia,14030000,1583.89,.,,,,,,,,,,,,,,,,,,,,
1841,Sweden,Europe_Central_Asia,3173000,1296,45.17,,,,,,,,,,,,,,,,,,,,
1841,Switzerland,Europe_Central_Asia,2235000,2074.21,.,,,,,,,,,,,,,,,,,,,,
1841,Turkey,Europe_Central_Asia,.,1000.63,.,,,,,,,,,,,,,,,,,,,,
1841,United_Kingdom,Europe_Central_Asia,21027114,3013.78,41.7,,,,,,,,,,,,,,,,,,,,
1841,Australia,Asia_Pacific,448000,1586.06,.,,,,,,,,,,,,,,,,,,,,
1841,China,Asia_Pacific,412000000,782.26,.,,,,,,,,,,,,,,,,,,,,
1841,Indonesia,Asia_Pacific,21328367,.,.,,,,,,,,,,,,,,,,,,,,
1841,Japan,Asia_Pacific,31696659,1095.05,.,,,,,,,,,,,,,,,,,,,,
1841,Korea_Dem_Rep,Asia_Pacific,.,700,.,,,,,,,,,,,,,,,,,,,,
1841,Korea_Rep,Asia_Pacific,.,598,.,,,,,,,,,,,,,,,,,,,,
1841,Myanmar,Asia_Pacific,.,569.07,.,,,,,,,,,,,,,,,,,,,,
1841,Taiwan,Asia_Pacific,.,871,.,,,,,,,,,,,,,,,,,,,,
1842,Cape_Verde,Africa,.,372.15,.,,,,,,,,,,,,,,,,,,,,
1842,Bangladesh,South_Asia,.,606,.,,,,,,,,,,,,,,,,,,,,
1842,India,South_Asia,.,560,.,,,,,,,,,,,,,,,,,,,,
1842,Pakistan,South_Asia,.,662,.,,,,,,,,,,,,,,,,,,,,
1842,Iraq,Middle_East,.,864.05,.,,,,,,,,,,,,,,,,,,,,
1842,Chile,America,1225410,769.85,.,,,,,,,,,,,,,,,,,,,,
1842,United_States,America,18667464,2436.73,.,,,,,,,,,,,,,,,,,,,,
1842,Austria,Europe_Central_Asia,3762000,2056.41,.,,,,,,,,,,,,,,,,,,,,
1842,Belgium,Europe_Central_Asia,4151000,1902.09,38.66,,,,,,,,,,,,,,,,,,,,
1842,Denmark,Europe_Central_Asia,1385000,1580.41,42.49,,,,,,,,,,,,,,,,,,,,
1842,Finland,Europe_Central_Asia,1476000,1201.63,.,,,,,,,,,,,,,,,,,,,,
1842,France,Europe_Central_Asia,35218000,1748.42,40.01,,,,,,,,,,,,,,,,,,,,
1842,Germany,Europe_Central_Asia,31787000,2176.57,.,,,,,,,,,,,,,,,,,,,,
1842,Greece,Europe_Central_Asia,2829000,1151.31,.,,,,,,,,,,,,,,,,,,,,
1842,Iceland,Europe_Central_Asia,.,.,40.13,,,,,,,,,,,,,,,,,,,,
1842,Ireland,Europe_Central_Asia,5992540,1711.34,.,,,,,,,,,,,,,,,,,,,,
1842,Italy,Europe_Central_Asia,23236000,1483.4,.,,,,,,,,,,,,,,,,,,,,
1842,Netherlands,Europe_Central_Asia,2952000,2863.66,.,,,,,,,,,,,,,,,,,,,,
1842,Norway,Europe_Central_Asia,1271000,1216,.,,,,,,,,,,,,,,,,,,,,
1842,Poland,Europe_Central_Asia,.,1383.57,.,,,,,,,,,,,,,,,,,,,,
1842,Portugal,Europe_Central_Asia,3726000,1310.79,.,,,,,,,,,,,,,,,,,,,,
1842,Spain,Europe_Central_Asia,14123000,1587.48,.,,,,,,,,,,,,,,,,,,,,
1842,Sweden,Europe_Central_Asia,3207000,1232,42.8,,,,,,,,,,,,,,,,,,,,
1842,Switzerland,Europe_Central_Asia,2251000,2095.85,.,,,,,,,,,,,,,,,,,,,,
1842,Turkey,Europe_Central_Asia,.,1005.63,.,,,,,,,,,,,,,,,,,,,,
1842,United_Kingdom,Europe_Central_Asia,21284460,2908.86,41.35,,,,,,,,,,,,,,,,,,,,
1842,Australia,Asia_Pacific,465000,1446.58,.,,,,,,,,,,,,,,,,,,,,
1842,China,Asia_Pacific,412000000,778.61,.,,,,,,,,,,,,,,,,,,,,
1842,Indonesia,Asia_Pacific,21505546,.,.,,,,,,,,,,,,,,,,,,,,
1842,Japan,Asia_Pacific,31730221,1095.6,.,,,,,,,,,,,,,,,,,,,,
1842,Korea_Dem_Rep,Asia_Pacific,.,700,.,,,,,,,,,,,,,,,,,,,,
1842,Korea_Rep,Asia_Pacific,.,598,.,,,,,,,,,,,,,,,,,,,,
1842,Myanmar,Asia_Pacific,.,569.07,.,,,,,,,,,,,,,,,,,,,,
1842,Taiwan,Asia_Pacific,.,871,.,,,,,,,,,,,,,,,,,,,,
1843,Cape_Verde,Africa,.,373.69,.,,,,,,,,,,,,,,,,,,,,
1843,Bangladesh,South_Asia,.,606,.,,,,,,,,,,,,,,,,,,,,
1843,India,South_Asia,.,560,.,,,,,,,,,,,,,,,,,,,,
1843,Pakistan,South_Asia,.,662,.,,,,,,,,,,,,,,,,,,,,
1843,Iraq,Middle_East,.,872.36,.,,,,,,,,,,,,,,,,,,,,
1843,Chile,America,1247926,784.83,.,,,,,,,,,,,,,,,,,,,,
1843,United_States,America,19278865,2476.52,.,,,,,,,,,,,,,,,,,,,,
1843,Austria,Europe_Central_Asia,3785000,2078.65,.,,,,,,,,,,,,,,,,,,,,
1843,Belgium,Europe_Central_Asia,4187000,1928.89,40.36,,,,,,,,,,,,,,,,,,,,
1843,Denmark,Europe_Central_Asia,1392000,1659.37,43.85,,,,,,,,,,,,,,,,,,,,
1843,Finland,Europe_Central_Asia,1495000,1207.81,.,,,,,,,,,,,,,,,,,,,,
1843,France,Europe_Central_Asia,35378000,1814.96,40.75,,,,,,,,,,,,,,,,,,,,
1843,Germany,Europe_Central_Asia,32086000,2184.44,.,,,,,,,,,,,,,,,,,,,,
1843,Greece,Europe_Central_Asia,2855000,1160.61,.,,,,,,,,,,,,,,,,,,,,
1843,Iceland,Europe_Central_Asia,.,.,25.39,,,,,,,,,,,,,,,,,,,,
1843,Ireland,Europe_Central_Asia,6006059,1735.63,.,,,,,,,,,,,,,,,,,,,,
1843,Italy,Europe_Central_Asia,23385000,1409.44,.,,,,,,,,,,,,,,,,,,,,
1843,Netherlands,Europe_Central_Asia,2981000,2808.67,.,,,,,,,,,,,,,,,,,,,,
1843,Norway,Europe_Central_Asia,1286000,1190,.,,,,,,,,,,,,,,,,,,,,
1843,Poland,Europe_Central_Asia,.,1387.96,.,,,,,,,,,,,,,,,,,,,,
1843,Portugal,Europe_Central_Asia,3738000,1310.81,.,,,,,,,,,,,,,,,,,,,,
1843,Spain,Europe_Central_Asia,14217000,1591.07,.,,,,,,,,,,,,,,,,,,,,
1843,Sweden,Europe_Central_Asia,3237000,1271,42.82,,,,,,,,,,,,,,,,,,,,
1843,Switzerland,Europe_Central_Asia,2266000,2117.72,.,,,,,,,,,,,,,,,,,,,,
1843,Turkey,Europe_Central_Asia,.,1010.65,.,,,,,,,,,,,,,,,,,,,,
