Year,Country,Region,Population,Income,LifeExpectancy,,,,,,,,,,,,,,,,,,,,
1800,Barbados,America,81729,1017.81,.,,,,,,,,,,,,,,,,,,,,
1800,Belize,America,25526,542.97,.,,,,,,,,,,,,,,,,,,,,
1800,Bolivia,America,1100000,695.05,33,,,,,,,,,,,,,,,,,,,,
1800,Brazil,America,.,509.2,32,,,,,,,,,,,,,,,,,,,,
1800,Canada,America,.,1159.5,39,,,,,,,,,,,,,,,,,,,,
1800,Chile,America,771447,702.1,32,,,,,,,,,,,,,,,,,,,,
1800,Colombia,America,1206000,522.98,32,,,,,,,,,,,,,,,,,,,,
1800,Costa_Rica,America,.,670.12,30.21,,,,,,,,,,,,,,,,,,,,
1800,Cuba,America,.,1123.88,32.2,,,,,,,,,,,,,,,,,,,,
1800,Ecuador,America,500000,1085.13,32.9,,,,,,,,,,,,,,,,,,,,
1800,El_Salvador,America,248000,804.31,28.7,,,,,,,,,,,,,,,,,,,,
1800,French_Guiana,America,9899,819.27,.,,,,,,,,,,,,,,,,,,,,
1800,Grenada,America,29409,775.67,.,,,,,,,,,,,,,,,,,,,,
1800,Guadeloupe,America,80726,760.98,.,,,,,,,,,,,,,,,,,,,,
1800,Guatemala,America,.,682.75,25.8,,,,,,,,,,,,,,,,,,,,
1800,Guyana,America,166034,910.69,31.12,,,,,,,,,,,,,,,,,,,,
1800,Haiti,America,723000,503.81,.,,,,,,,,,,,,,,,,,,,,
1800,Honduras,America,.,583.8,33.9,,,,,,,,,,,,,,,,,,,,
1800,Jamaica,America,401000,1350.4,34.2,,,,,,,,,,,,,,,,,,,,
1800,Martinique,America,84039,944.05,.,,,,,,,,,,,,,,,,,,,,
1800,Mexico,America,.,1053.6,26.9,,,,,,,,,,,,,,,,,,,,
1800,Netherlands_Antilles,America,42536,698.1,.,,,,,,,,,,,,,,,,,,,,
1800,Nicaragua,America,186000,726.97,25.4,,,,,,,,,,,,,,,,,,,,
1800,Panama,America,78842,686.66,32.9,,,,,,,,,,,,,,,,,,,,
1800,Paraguay,America,143000,564.16,35.5,,,,,,,,,,,,,,,,,,,,
1800,Peru,America,.,697.3,35.7,,,,,,,,,,,,,,,,,,,,
1800,Puerto_Rico,America,155000,775.1,30.43,,,,,,,,,,,,,,,,,,,,
